# Hostinger International Limited,,,,
# Prefixes located at Australia - Sydney,,,,
185.97.144.0/23,FR,,Paris,
185.97.146.0/23,FR,,Paris,
185.158.107.0/24,FR,,Paris,
185.158.132.0/24,FR,,Paris,
185.166.36.0/24,FR,,Paris,
185.166.37.0/24,FR,,Paris,
185.166.38.0/24,FR,,Paris,
185.166.39.0/24,FR,,Paris,
185.170.58.0/24,FR,,Paris,
185.172.57.0/24,FR,,Paris,
193.58.105.0/24,FR,,Paris,
193.203.168.0/22,FR,,Paris,
193.203.188.0/22,FR,,Paris,
194.55.132.0/23,FR,,Paris,
194.164.72.0/21,FR,,Paris,
195.35.0.0/22,FR,,Paris,
195.35.24.0/22,FR,,Paris,
195.35.28.0/23,FR,,Paris,
195.35.48.0/23,FR,,Paris,
195.200.12.0/22,FR,,Paris,
213.130.144.0/24,FR,,Paris,
213.130.145.0/24,FR,,Paris,
213.130.146.0/24,FR,,Paris,
213.130.147.0/24,FR,,Paris,
213.210.20.0/24,FR,,Paris,
217.65.144.0/21,FR,,Paris,
2a02:4780:7::/48,FR,,Paris,
2a02:4780:27::/48,FR,,Paris,
2a02:4780:28::/48,FR,,Paris,
2a02:4780:29::/48,FR,,Paris,
2a02:4780:2a::/48,FR,,Paris,
2a02:4780:36::/48,FR,,Paris,
2a02:4780:37::/48,FR,,Paris,
2a02:4780:5a::/48,FR,,Paris,
2a02:4780:6b::/48,FR,,Paris,
# Prefixes located at Germany - Frankfurt,,,,
31.97.32.0/21,DE,,Frankfurt,
31.97.44.0/22,DE,,Frankfurt,
31.97.76.0/22,DE,,Frankfurt,
31.97.120.0/21,DE,,Frankfurt,
31.97.179.0/24,DE,,Frankfurt,
31.97.180.0/22,DE,,Frankfurt,
31.97.184.0/23,DE,,Frankfurt,
31.97.216.0/23,DE,,Frankfurt,
45.15.26.0/23,DE,,Frankfurt,
45.80.154.0/23,DE,,Frankfurt,
45.90.110.0/23,DE,,Frankfurt,
46.202.152.0/21,DE,,Frankfurt,
69.62.112.0/22,DE,,Frankfurt,
69.62.116.0/22,DE,,Frankfurt,
69.62.120.0/23,DE,,Frankfurt,
72.60.32.0/21,DE,,Frankfurt,
72.60.80.0/21,DE,,Frankfurt,
72.60.129.0/24,DE,,Frankfurt,
72.60.130.0/23,DE,,Frankfurt,
72.60.132.0/23,DE,,Frankfurt,
72.60.134.0/23,DE,,Frankfurt,
72.60.176.0/21,DE,,Frankfurt,
72.61.20.0/22,DE,,Frankfurt,
72.61.80.0/20,DE,,Frankfurt,
72.61.152.0/21,DE,,Frankfurt,
72.61.176.0/20,DE,,Frankfurt,
72.62.32.0/19,DE,,Frankfurt,
72.62.88.0/21,DE,,Frankfurt,
72.62.144.0/20,DE,,Frankfurt,
76.13.0.0/20,DE,,Frankfurt,
76.13.128.0/19,DE,,Frankfurt,
82.25.96.0/21,DE,,Frankfurt,
82.29.176.0/21,DE,,Frankfurt,
82.198.224.0/21,DE,,Frankfurt,
82.198.234.0/23,DE,,Frankfurt,
88.222.220.0/23,DE,,Frankfurt,
89.116.39.0/24,DE,,Frankfurt,
92.113.16.0/21,DE,,Frankfurt,
145.223.80.0/21,DE,,Frankfurt,
145.223.96.0/21,DE,,Frankfurt,
145.223.112.0/21,DE,,Frankfurt,
147.93.56.0/21,DE,,Frankfurt,
147.93.120.0/21,DE,,Frankfurt,
148.222.55.0/24,DE,,Frankfurt,
148.230.70.0/23,DE,,Frankfurt,
148.230.104.0/21,DE,,Frankfurt,
168.231.101.0/24,DE,,Frankfurt,
168.231.104.0/21,DE,,Frankfurt,
2a02:4780:3f::/48,DE,,Frankfurt,
2a02:4780:40::/48,DE,,Frankfurt,
2a02:4780:41::/48,DE,,Frankfurt,
2a02:4780:42::/48,DE,,Frankfurt,
2a02:4780:43::/48,DE,,Frankfurt,
2a02:4780:44::/48,DE,,Frankfurt,
2a02:4780:45::/48,DE,,Frankfurt,
2a02:4780:55::/48,DE,,Frankfurt,
2a02:4780:5b::/48,DE,,Frankfurt,
# Prefixes located at India - Mumbai,,,,
31.97.2.0/24,IN,,Mumbai,
31.97.60.0/22,IN,,Mumbai,
31.97.186.0/24,IN,,Mumbai,
31.97.200.0/21,IN,,Mumbai,
31.97.224.0/20,IN,,Mumbai,
46.28.44.0/22,IN,,Mumbai,
46.202.160.0/21,IN,,Mumbai,
62.72.12.0/22,IN,,Mumbai,
62.72.28.0/22,IN,,Mumbai,
62.72.56.0/22,IN,,Mumbai,
69.62.72.0/21,IN,,Mumbai,
69.62.80.0/22,IN,,Mumbai,
69.62.84.0/23,IN,,Mumbai,
72.60.96.0/21,IN,,Mumbai,
72.60.200.0/21,IN,,Mumbai,
72.60.216.0/21,IN,,Mumbai,
72.61.168.0/21,IN,,Mumbai,
72.61.224.0/19,IN,,Mumbai,
72.62.224.0/21,IN,,Mumbai,
77.37.44.0/22,IN,,Mumbai,
82.25.104.0/21,IN,,Mumbai,
82.25.120.0/21,IN,,Mumbai,
82.29.160.0/21,IN,,Mumbai,
82.112.224.0/20,IN,,Mumbai,
82.180.140.0/22,IN,,Mumbai,
82.180.164.0/22,IN,,Mumbai,
86.38.243.0/24,IN,,Mumbai,
88.222.208.0/21,IN,,Mumbai,
88.222.240.0/21,IN,,Mumbai,
